category,count
Health & Human Services,8
Disadvantaged Communities,33
 Libraries and Arts,5
 Education,7
" Employment, Labor & Training",6
Agriculture,10
 Disadvantaged Communities,8
 Environment & Water,34
 Food & Nutrition,3
" Housing, Community and Economic Development",14
 Parks & Recreation,21
" Science, Technology, and Research & Development",10
"Law, Justice, and Legal Services",1
 Health & Human Services,8
Energy,8
"Employment, Labor & Training",3
Consumer Protection,3
" Law, Justice, and Legal Services",5
Environment & Water,39
Disaster Prevention & Relief,5
 Disaster Prevention & Relief,5
 Energy,3
 Transportation,5
Transportation,6
"Housing, Community and Economic Development",3
Education,7
