PortalID,Status,LastUpdated,AgencyDept,Title,Type,LOI,Categories,Purpose,Description,ApplicantType,FundingSource,MatchingFunds,EstAvailFunds,FundingMethod,OpenDate,ApplicationDeadline,ExpAwardDate,GrantURL,MaxAwards,MinAwards,MaxAmounts,MinAmounts,IsOngoing
6481,active,2022-07-18 17:28:34,Department of Justice (Office of the Attorney General),Tobacco Grant Program FY 2022-23 Request for Proposals,Grant,No,"Education; Law, Justice, and Legal Services","The purpose of this grant offered through the Office of the Attorney General, California Department of Justice Tobacco Grant Program is to promote a healthier California by reducing illegal sales and marketing of cigarettes and tobacco products, including e-cigarettes, to minors and youth.","In accordance with Proposition 56, funds will be awarded to applicants that demonstrate the capacity to support and/or hire law enforcement officers for programs that include, but are not limited to, enforcing state laws and local ordinances relating to illegal sales and/or marketing of tobacco products to minors and youth, and increasing investigative activities and compliance checks of tobacco retailers and online services that deliver tobacco products to reduce illegal sale of tobacco products to minors and youth. More information about the evaluation criteria is contained in the Grantee Handbook. Any local public agency within the State of California that has authority to enforce tobacco-related state laws or local ordinances is eligible to apply. This may include cities, counties, public school districts, public college districts, law enforcement agencies, city attorneys and county counsels. Grantees may use grant funds to enforce a local ordinance or state law related to the illegal sale and marketing of tobacco products, including e-cigarettes, to minors and youth. These enforcement efforts may include, but are not limited to: retailer compliance checks, enforcement of flavor ban laws/ordinances, consumer protection enforcement, illegal online sales and marketing, retailer training programs, public education outreach, and tobacco retail license inspections. Eligible agencies with an existing Tobacco Grant award may submit a proposal to supplement the objectives of their existing award; a proposal for a new award to fund new objectives; or if their grant is expiring, a new grant award.  keywords: education, law enforcement, tobacco enforcement, vaping, vape, tobacco, enforcement, schools, Prop 56, prevention, healthcare",Public Agency,State,Not Required,22000000.0,Reimbursement(s),2022-07-18 19:15:00,2022-08-17 23:59:00,October 2022,https://oag.ca.gov/tobaccogrants,,,,,0
11966,active,2022-07-15 22:20:56,Department of Health Care Access and Information,California State Loan Repayment Program (SLRP),Grant,No,Health & Human Services,"The California State Loan Repayment Program (SLRP) increases the number of primary care physicians, dentists, dental hygienists, physician assistants, nurse practitioners, certified nurse midwives, pharmacists, and mental/behavioral health providers practicing in federally designated California Health Professional Shortage Areas.","California State Loan Repayment Program (SLRP) makes awards to eligible applicants from selected medical disciplines for the maximum award amount of $50,000 for a two full-time or $25,000 for a two-year half-time service commitment in a California Health Professional Shortage Area or in a Federally Qualified Health Center.  Practice sites must meet SLRP site eligibility requirements in order for the providers, working at that site, to qualify for SLRP.  ",Individual,Federal and State,Not Required,5000000.0,Advances & Reimbursement(s),2022-07-15 07:00:00,2022-09-15 15:00:00,December 2022,https://hcai.ca.gov/wp-content/uploads/2022/07/2022-23-SLRP-Grant-Guide.pdf,,,50000.0,5000.0,1
11960,active,2022-07-14 22:35:54,CA Arts Council,Administering Organization – Individual Artist Fellowships,Grant,No,Disadvantaged Communities; Libraries and Arts,"The Administering Organization – Individual Artist Fellowships program will support artists at key moments in their careers, elevating their capacity for continued contribution to the field and our state. Fellowship grants support individual artistic practice through unrestricted funding. This program is intended to support a broad spectrum ofartists working in all disciplines, from diverse geographies and communities of all sizes across CA.","The CAC is seeking applications from AOs with the capacity to administer fellowships to individual artists and culture bearers in all disciplines. The intention of this grant program is to provide as broad a geographic reach as possible and support artists in all 58 counties.     Program Administration Administering Organizations (AO) The AOs will be responsible for the planning and implementation of the Individual Artist Fellowship program in their region, including but not limited to:  Provide access and support for individual artists and culture bearers throughout the course of the application, award, and evaluation processes  Engage in robust, culturally and discipline-specific engagement and outreach to ensure comprehensive geographic reach within the service area  Convene fellows at least once over the course of the grant activity period to engage in networking and co-learning  Provide platforms including but not limited to virtual or print publications, exhibits, or performances to increase the visibility of the work of the fellows  Engage in regular reporting to and collaboration with the CAC, including providing interim and final reports on program outcomes and findings.",Nonprofit; Public Agency; Tribal Government,State,Not Required,,Advance(s),2022-07-14 07:00:00,2022-08-31 23:59:00,November 2022,https://arts.ca.gov/grant_program/individual-artists-fellowship/,,,,,1
11957,active,2022-07-14 22:15:54,CA Arts Council,Administering Organization – Arts Administrators Pipeline Fellowship,Grant,No,"Disadvantaged Communities; Education; Employment, Labor & Training; Libraries and Arts",The Arts Administrators Pipeline Fellowship program will be to both support the professional trajectory of individuals who otherwise may not have the opportunity to develop their careers as arts administrators and to increase the capacity of arts organizations for authentic community engagement with those they serve. ,"The AO will implement a fellow-driven grant program, identifying approximately 11 emerging arts administrators for support and then pairing them with an equal number of arts and culture organizations dedicated to equity and community engagement for a 12-month paid fellowship. Fellows and host organizations and fellows will represent the geographic diversity of California. With oversight by the CAC, the AO will design and administer application processes for both fellows and host organizations; supply a suite of resources for the fellows, including a livable wage stipend; and provide professional development activities and immersion in a co-learning community. It will also re-grant funds to the host organizations for fellowship salaries and benefits, and for other expenses necessary to create an effective fellowship experience for the organizations and the fellows.",Nonprofit; Public Agency; Tribal Government,State,Not Required,1165000.0,Advances & Reimbursement(s),2022-07-14 07:00:00,2022-08-31 23:59:00,November 2022,https://arts.ca.gov/grant_program/administering-organization-arts-administrators-pipeline-fellowship/,1.0,1.0,,,1
11912,active,2022-07-14 17:13:34,Department of Pesticide Regulation,Department of Pesticide Regulation 2023 Alliance Grants Program,Grant,No,"Agriculture; Disadvantaged Communities; Education; Employment, Labor & Training; Environment & Water; Food & Nutrition; Housing, Community and Economic Development; Parks & Recreation; Science, Technology, and Research & Development","To promote safer, more sustainable pest management practices in California, the Department of Pesticide Regulation (DPR) annually funds Alliance projects that promote or increase the implementation, expansion, and/or adoption of effective, proven, and affordable Integrated Pest Management (IPM) systems or practices that reduce risks to public health and the environment in agricultural, urban, or wildland settings.","DPR's Alliance Grants Program has $1.5 million in funding available for Alliance projects that promote or increase the implementation, expansion, and/or adoption of effective, proven, and affordable Integrated Pest Management (IPM) systems or practices that reduce risks to public health and the environment in agricultural, urban, or wildland settings. Successful applications will demonstrate strong partnerships, outreach, and/or an educational or training component to promote IPM and the broad application of the proposed IPM systems or practices. The most competitive Alliance Grant projects are those that can serve as a model for similar situations, have a high potential for wide adoption, and do not focus on conducting research. Summaries of previously-funded Alliance Grants Program projects can be found at here.  The 2023 Alliance Grants application package can be found on DPR’s website. Following the deadline, complete and eligible applications are concurrently reviewed by DPR staff and the Pest Management Advisory Committee (PMAC). Both groups evaluate the Proposal Application according to scoring criteria that can be found here. PMAC reviewers are from diverse affiliations, including academic and public foundations, agricultural production, environmental and public interest organizations, and registrants and trade associations; a list of PMAC members can be found here. PMAC’s role, as specified in law and regulation, is to review the grant proposals for adoptability and merit and provide recommendations to DPR’s Director who makes the final funding decision.  This year, DPR has $1.5 million available for projects with budgets ranging from $50,000 to $1.5 million. Eligible grantees include nonprofits agencies, tribal governments, individuals, businesses, and public agencies, including those from outside of California; however, project work must primarily benefit the people of California. There is no limit on the number of applications that can be submitted, including multiple applications from the same person or entity. PMAC members may apply, but they must follow the rules regarding conflict of interest in the PMAC Charter. All applicants and associated project personnel must meet DPR’s eligibility requirements that can be found here.  Keywords: Agriculture, Agricultural Commodity, Agricultural Crops, Agronomy, Air Quality, Automation, Bacteria, Bactericide, Climate Change, Community Health, Cover Crops, Cropping System, Crops, Ecology, Ecosystem, Emissions, Fauna, Fertility, Field Sanitation, Flora, Fruits, Fumigant, Fungi, Fungicide, Herbicide, Horticulture, Housing, Insect Pests, Insecticide, Integrated Pest Management, Irrigation, Lakes, Land Management, Laws and Regulations, Machinery, Mating Disruption, Miticide, Natural Enemies, Nuts, Oceans, Pathogens, Personal Protective Equipment, Pest, Pest Management , Pesticide, Pesticide Use, Plant Disease, Plant Protection, Pollinator, Pollution, Reduced-Risk, Rivers, Rodenticide, Soil Health, Streams, Sustainable, Training, Urban Pest Management, Vegetables, Vertebrate Pests, Virus, Volatile Organic Compounds, Water, Water Quality, Watershed, Weeds, Wildlands, Worker Health and Safety",Business; Individual; Nonprofit; Public Agency; Tribal Government,State,Not Required,1500000.0,Reimbursement(s),2022-07-14 07:00:00,2022-12-08 23:59:00,Late June 2023,https://www.cdpr.ca.gov/docs/pestmgt/grants/alliance/index.htm,30.0,1.0,1500000.0,50000.0,1
11126,active,2022-07-14 19:04:59,Department of Pesticide Regulation,2023 Department of Pesticide Regulation Research Grants Program,Grant,No,"Agriculture; Disadvantaged Communities; Education; Employment, Labor & Training; Environment & Water; Food & Nutrition; Housing, Community and Economic Development; Parks & Recreation; Science, Technology, and Research & Development","To promote safer, more sustainable pest management practices in California, the Department of Pesticide Regulation's (DPR) Research Grants Program provides funding to develop Integrated Pest Management (IPM) practices in agricultural, urban, or wildland settings that reduce the risks from pesticides which are high-risk, of regulatory concern, or are of human health or environmental concern in California.","DPR's Research Grants Program funds research projects that seek to further IPM in agricultural, urban, or wildlands settings. Developed practices should aim to reduce the use of high-risk pesticides or pesticides that are of regulatory concern and seek to mitigate the impacts of pesticides on public health and the environment. DPR’s Research Grants Program funds diverse projects in varied settings; a list of current and past projects can be found here.   The application process consists of a Proposal Application followed by concurrent review of submitted proposal materials by DPR staff and the Pest Management Advisory Committee (PMAC). Both groups evaluate the Proposal Application according to ranking criteria that can be found here. PMAC reviewers are from diverse affiliations, including academic and public foundations, agricultural production, environmental and public interest organizations, and registrants and trade associations; a list of PMAC members can be found here. PMAC’s role, as specified in law and regulation, is to review the grant proposals for adoptability and merit and provide recommendations to DPR’s Director who makes the final funding decision.  This year, DPR has $3.15 million available for projects with budgets ranging from $50,000 to $3.15 million. Eligible grantees include nonprofits agencies, tribal governments, individuals, businesses, and public agencies, including those from outside of California; however, project work must primarily benefit the people of California.  There is no limit on the number of applications that can be submitted, including multiple applications from the same person or entity. PMAC members may apply, but they must follow the rules regarding conflict of interest in the PMAC Charter.  All applicants and associated project personnel must meet DPR’s eligibility requirements (including having no standing fines or penalties from DPR or any local County Agricultural Commissioner).  Keywords:  Agriculture, Agricultural Commodity, Agricultural Crops, Agronomy, Air Quality, Automation, Bacteria, Bactericide, Climate Change, Community Health, Cover Crops, Cropping System, Crops, Ecology, Ecosystem, Emissions, Fauna, Fertility, Field Sanitation, Flora, Fruits, Fumigant, Fungi, Fungicide, Herbicide, Horticulture, Housing, Insect Pests, Insecticide, Integrated Pest Management, Irrigation, Lakes, Land Management, Laws and Regulations, Machinery, Mating Disruption, Miticide, Natural Enemies, Nuts, Oceans, Pathogens, Personal Protective Equipment, Pest, Pest Management, Pesticide, Plant Disease, Plant Protection, Pollinator, Pollution, Reduced-Risk, Rivers, Rodenticide, Soil Health, Streams, Sustainable, Training, Urban Pest Management, Vegetables, Vertebrate Pests, Virus, Volatile Organic Compounds, Water, Water Quality, Watershed, Weeds, Wildlands, Worker Health and Safety",Business; Individual; Nonprofit; Public Agency; Tribal Government,State,Not Required,3150000.0,Reimbursement(s),2022-07-14 07:00:00,2022-09-22 23:59:00,Late March 2023,https://www.cdpr.ca.gov/docs/pestmgt/grants/research/index.htm,63.0,1.0,3150000.0,50000.0,1
11903,active,2022-07-13 16:59:39,Governor's Office of Emergency Services,2022-23 Restorative Justice Training (RJ) Program RFP,Grant,Yes,"Law, Justice, and Legal Services","The purpose of the RJ Program is to establish expertise in victim/survivor-centered restorative justice prosecutorial best practices in response to domestic violence and sexual assault cases. The Subrecipient must develop and implement training curriculum, develop a toolkit/guide, and provide technical assistance for prosecutors, criminal justice system personnel, and allied victim service providers.","Restorative justice in the form of mediation or reconciliation between offenders and victims/survivors has been utilized since the 1970s. There is not a shared understanding of how to implement a restorative justice process within the victim service(s) field, the criminal justice system, and specifically within the prosecutorial process. Restorative justice includes a broad range of activities and normally involves both the criminal justice system and non-governmental partners.  Per the United States Office of Justice Programs (OJP), restorative justice is “a process whereby parties with a stake in a specific offense resolve collectively how to deal with the aftermath of the offense and its implications for the future.” OJP further describes the process as an approach that “creates opportunities for empowerment of crime victims to identify their own needs and requirements for justice” and provides “those who have harmed an opportunity to take action to repair the harm caused by criminal behavior.”  For prosecutors, restorative justice may be seen as a tool to empower victims/survivors, seek the best justice for victims/survivors of crime, and lessen prosecutorial caseloads. Restorative justice is not appropriate for all criminal cases. The safety of the victim/survivor and the community must always be considered. Additionally, both the victim/survivor and offender must choose this process; it cannot be mandatory.  Restorative justice is most commonly used in the juvenile justice system. The RJ Program would train prosecutors, criminal justice system personnel, and allied victim service providers to use the restorative justice process safely and effectively for the prosecution of criminal cases of sexual assault and domestic violence where the victim/survivor is 11 years of age or older.  The purpose of the RJ Program is to establish expertise in victim/survivor-centered restorative justice prosecutorial best practices in response to domestic violence and sexual assault cases. The Subrecipient must develop and implement training curriculum, develop a toolkit/guide, and provide technical assistance for prosecutors, criminal justice system personnel, and allied victim service providers.",Nonprofit; Public Agency; Tribal Government,Federal,25%,250000.0,Reimbursement(s),2022-07-13 15:00:00,2022-09-16 23:59:00,12/31/22,https://www.caloes.ca.gov/cal-oes-divisions/grants-management/search-for-grants?k=RJ,,,,,1
11723,active,2022-07-12 22:13:06,Department of Social Services,Children&#039;s Crisis Continuum Pilot Program Request for Proposal (RFP),Grant,No,"Disadvantaged Communities; Education; Health & Human Services; Housing, Community and Economic Development","​To establish a pilot program for counties or regional collaboratives of counties to develop a robust, highly integrated continuum of services designed to serve foster youth with complex needs served by multiple agencies.","The Children’s Crisis Continuum Pilot Program(s) are to be highly integrated, trauma-focused, continuums of care for foster youth with the highest acuity and/or intellectual/developmental needs that allow for seamless transition between less and more restrictive levels of care that is not delayed by the need to arrange for appropriate supportive services. Non-family-based service settings within the pilot shall include a trauma-focused model of care, be unlocked, and have a high degree of qualified supervision and structure and be aligned with the goal of maintaining family and community connection while supporting the rapid and successful transition of the foster youth back into family-based settings.",Public Agency,State,Not Required,61300000.0,Advances & Reimbursement(s),2022-07-13 07:00:00,2022-09-23 00:00:00,10/17/2022,https://cdss.ca.gov/inforesources/childrenscrisiscontinuumpilotprogram,6.0,1.0,,,1
11714,active,2022-07-12 21:43:11,Department of Forestry and Fire Protection,California Forest Improvement Program,Grant,No,Agriculture; Environment & Water,"The purpose of the California Forest Improvement Program (CFIP) is to encourage private and public investment in, and improved management of, California forest lands and resources. This focus is to ensure adequate high quality timber supplies, related employment and other economic benefits, and the protection, maintenance, and enhancement of a productive and stable forest resource system for the benefit of present and future generations.      ","The program scope includes the improvement of all forest resources including fish and wildlife habitat, and soil and water quality. Cost-share assistance is provided to private and public ownerships containing 20 to 5,000 acres of forest land. Cost-shared activities include:  Preparation of a Forest Management Plan by a Registered Professional Forester (RPF)RPF Supervision of the following:  Reforestation, Site Preparation, Trees and Planting, Tree Shelters, Stand Improvement, Pre-commercial Thinning or Release, Pruning, Follow-up (includes mechanical, herbicide and/or slash disposal follow-up), Forestland conservation practices / fish and wildlife habitat improvement  Broadcast/controlled/cultural burning is not eligible for CFIP cost share. ",Business; Individual; Nonprofit; Public Agency,State,25%,,Advances & Reimbursement(s),2022-07-12 07:00:00,Ongoing,7/12/2022 -3/31/2026,https://www.fire.ca.gov/grants/california-forest-improvement-program-cfip/,,,,,1
11708,active,2022-07-12 07:30:42,Board of State and Community Corrections,2022 Title II Grant Program,Grant,No,"Disadvantaged Communities; Education; Employment, Labor & Training; Law, Justice, and Legal Services","This Grant Program provides alternatives to detention, promotes youth safety and well-being while in custody, and identifies and supports successful and emerging reentry models. It intends that in-custody programs focus on rehabilitation and building individual strengths instead of punishment for past mistakes and deficits. It intends that California’s disproportionate representation of youth of color in the juvenile justice system be addressed.","Services and programs proposed in response to this RFP must be designed to serve people who are at-risk and/or have been under the jurisdiction of the juvenile justice system and are under the age of 26.  To support targeted delinquency prevention and intervention efforts, OJJDP developed a comprehensive list of Program Purpose Areas (PPAs) that are permissible uses of Title II funds. The SACJJDP further refined the PPAs that California would fund in the 2021-2023 Title II State Plan.Applicants for Title II Grant Program must identify at least one PPA that the program will address. Applicants may address more than one PPA or a combination of PPAs. There are six (6) PPAs an applicant may select from as shown below:• Aftercare/Reentry• Alternatives to Detention and Placement• Community Based Programs• Diversion• Mentoring, Counseling, and Training Programs• Job Training  Applicants for Title II Grant Program must be a:1. Unit of local government (including individual agencies or departments within a City and County or a School District) that partner with private nonprofit agencies, organizations, and institutions.2. Private nonprofit agency, organization, or institution; Or3. A federally recognized Indian tribe (at least one eligible program will be funded).  Proposals must be received by 5:00 p.m. on Friday, August 12, 2022. Applicants must ensure the proposal package is signed with a digital signature OR a wet blue ink signature that is then scanned with the completed proposal package. Please submit one (1)completed proposal package via email to: jj_grants@bscc.ca.gov.  Successful applicants will be funded for a three-year grant project service period commencing on January 1, 2023, and ending on December 31, 2025, and a final evaluation period commencing on January 1, 2026, ending March 31, 2026. An additional three (3) months (January 1, 2026 through March 31, 2026) will be included in the grant agreement for the sole purposes of:• Finalizing and submitting a required Local Evaluation Report, and• Finalizing and submitting any required financial audit.  Approximately $4,000,000 will be available for the first year of the grant cycle (January 1,2023 – December 31, 2023). Funding amounts for the second year (January 1, 2024 -December 31, 2024), third year (January 1, 2025 – December 31, 2025), and final evaluation period (January 1, 2026 – March 31, 2026) are contingent on OJJDP Title IIawards and amounts not yet known.The maximum amount of funding available per grant is $350,000 annually.Applicants must apply for the same amount of funding for all three years (e.g., first year:$350,000, second year: $350,000, and third year: $350,000; totaling $1,050,000 for a three-year period). Grantees may be able to carry unspent funds into the next calendar year, with prior BSCC approval. It is extremely important applicants plan and budget carefully and apply only for funding they can justify by services offered and the target population served each year of the three-year grant period.  Applicants must receive at least 66% of the total points available to be considered for funding.",Nonprofit; Public Agency; Tribal Government,Federal,Not Required,,Reimbursement(s),2022-07-12 07:00:00,2022-08-12 17:00:00,"November 17, 2022",https://www.bscc.ca.gov/s_titleiigrant/,,,350000.0,1.0,0
