,Repository,Organization,Label,LabelStatus,counts
2,311-data,hackforla,feature, Communication,36
3,311-data,hackforla,feature, Data Quality,4
4,311-data,hackforla,feature, Documentation,19
5,311-data,hackforla,feature, GitHub Board/Onboarding,10
6,311-data,hackforla,feature, Meeting Notes/Agendas,2
7,311-data,hackforla,feature, Missing,18
8,311-data,hackforla,feature, Optimization,6
9,311-data,hackforla,feature, Recruitment,1
10,311-data,hackforla,feature, Site Analytics,3
11,311-data,hackforla,feature, Stakeholder,5
12,311-data,hackforla,feature, User Feedback,3
13,311-data,hackforla,feature, guide,5
49,CTI-website-backend,civictechindex,feature, tag generator,2
54,CTI-website-frontend,civictechindex,feature, CfA Brigade Project Index,2
55,CTI-website-frontend,civictechindex,feature, Google Analytics,2
56,CTI-website-frontend,civictechindex,feature, code quality,26
57,CTI-website-frontend,civictechindex,feature, design system,67
58,CTI-website-frontend,civictechindex,feature, github/project administration,24
59,CTI-website-frontend,civictechindex,feature, hosting,7
60,CTI-website-frontend,civictechindex,feature, manual database action,1
61,CTI-website-frontend,civictechindex,feature, missing,5
62,CTI-website-frontend,civictechindex,feature, onboarding,24
63,CTI-website-frontend,civictechindex,feature, product adoption,9
64,CTI-website-frontend,civictechindex,feature, site architecture,22
65,CTI-website-frontend,civictechindex,feature, user site testing,6
121,CivicTechJobs,hackforla,feature, Agenda,8
122,CivicTechJobs,hackforla,feature, Architecture,28
123,CivicTechJobs,hackforla,feature, Documentation,16
124,CivicTechJobs,hackforla,feature, GitHub Actions,4
125,CivicTechJobs,hackforla,feature, GitHub setup,7
126,CivicTechJobs,hackforla,feature, User Research,19
127,CivicTechJobs,hackforla,feature, design system,13
128,CivicTechJobs,hackforla,feature, marketing,4
129,CivicTechJobs,hackforla,feature, passwords/keys/permissions,2
130,CivicTechJobs,hackforla,feature, project meeting check,1
131,CivicTechJobs,hackforla,feature, recruiting for CTJ,3
132,CivicTechJobs,hackforla,feature, requirements gathering,7
170,GreenEarthOS,hackforla,feature, Board/GithHub Maintenance,2
171,GreenEarthOS,hackforla,feature, brand exercise,29
172,GreenEarthOS,hackforla,feature, branding,31
194,HomeUniteUs,hackforla,feature, Administrative,29
195,HomeUniteUs,hackforla,feature, Architecture,30
196,HomeUniteUs,hackforla,feature, Board/Github Maintenance,3
197,HomeUniteUs,hackforla,feature, Design System,10
198,HomeUniteUs,hackforla,feature, Infrastructure,4
199,HomeUniteUs,hackforla,feature, Refactoring,1
200,HomeUniteUs,hackforla,feature, Security/Regulatory Compliance,2
201,HomeUniteUs,hackforla,feature, Testing,1
202,HomeUniteUs,hackforla,feature, Wiki,1
203,HomeUniteUs,hackforla,feature, missing,92
237,UI-UX,hackforla,feature, guide creation,49
238,UI-UX,hackforla,feature, research plans and components,1
253,VRMS,hackforla,feature, Onboarding - p1,3
254,VRMS,hackforla,feature, Project Management,13
255,VRMS,hackforla,feature, Recurring Events,7
256,VRMS,hackforla,feature, eslint warnings,45
257,VRMS,hackforla,feature, missing,22
258,VRMS,hackforla,feature, package update,16
277,Website,100automations,feature, Architecture / Standards,10
278,Website,100automations,feature, GitHub board/onboarding,3
279,Website,100automations,feature, Project Framework,9
280,Website,100automations,feature, Roadmap,4
281,Website,100automations,feature, Service Journeys,16
282,Website,100automations,feature, Usability testing,2
283,Website,100automations,feature, accessibility,3
284,Website,100automations,feature, image utilities,1
285,Website,100automations,feature, missing,13
286,Website,100automations,feature, outreach,3
322,YouthJusticeNav,hackforla,feature, agenda,1
323,YouthJusticeNav,hackforla,feature, board/google drive/tools,1
324,YouthJusticeNav,hackforla,feature, missing,68
325,YouthJusticeNav,hackforla,feature, volunteer onboarding,1
336,access-the-data,hackforla,feature, ADA/WCAG Compliance,2
337,access-the-data,hackforla,feature, Ecosystem Map,7
338,access-the-data,hackforla,feature, administrative,36
339,access-the-data,hackforla,feature, content,8
340,access-the-data,hackforla,feature, design system,24
341,access-the-data,hackforla,feature, github - wiki maintenance,4
342,access-the-data,hackforla,feature, personas,3
343,access-the-data,hackforla,feature, process documentation,3
344,access-the-data,hackforla,feature, recruitment,10
345,access-the-data,hackforla,feature, usability testing,10
346,access-the-data,hackforla,feature, user research,20
347,access-the-data,hackforla,feature, user stories,2
348,access-the-data,hackforla,feature, website,34
349,access-the-data,hackforla,feature, wireframes,4
350,access-the-data,hackforla,feature, workshops,46
378,admin,hackforla,feature, Agenda,1
379,admin,hackforla,feature, guide creation,15
380,admin,hackforla,feature, volunteer request,1
386,ballotnav,hackforla,feature, Design system,1
399,brigade2point0,hackforla,feature, donation,1
400,brigade2point0,hackforla,feature, guides,1
401,civic-opportunity,hackforla,feature, role descriptions,32
423,data-science,hackforla,feature, branding,1
424,data-science,hackforla,feature, guide,31
425,data-science,hackforla,feature, labels,1
426,data-science,hackforla,feature, missing,1
427,data-science,hackforla,feature, needs peer review,1
428,data-science,hackforla,feature, onboarding,2
429,data-science,hackforla,feature, project management,6
430,data-science,hackforla,feature, recruitment,1
494,engineering,hackforla,feature, guide creation,6
498,expunge-assist,hackforla,feature, Communication/Branding,1
499,expunge-assist,hackforla,feature, GitHub/Project Board maintenance,6
500,expunge-assist,hackforla,feature, Style Guide,4
501,expunge-assist,hackforla,feature, agenda,7
502,expunge-assist,hackforla,feature, figma content writing,44
503,expunge-assist,hackforla,feature, figma design system,9
504,expunge-assist,hackforla,feature, figma desktop prototype,2
505,expunge-assist,hackforla,feature, figma heuristic evaluation,3
506,expunge-assist,hackforla,feature, figma mobile prototype,2
507,expunge-assist,hackforla,feature, figma wireframes,2
508,expunge-assist,hackforla,feature, marketing plans,1
509,expunge-assist,hackforla,feature, missing,78
510,expunge-assist,hackforla,feature, onboard / offboard,3
511,expunge-assist,hackforla,feature, outreach,20
512,expunge-assist,hackforla,feature, recruitment,1
513,expunge-assist,hackforla,feature, research analysis,3
514,expunge-assist,hackforla,feature, research plans,8
515,expunge-assist,hackforla,feature, roadmap,2
516,expunge-assist,hackforla,feature, technical standards,3
517,expunge-assist,hackforla,feature, usability testing,30
