,Repository,Organization,Label,LabelStatus,counts
0,311-data,hackforla,epic, 311 public data sets,3
1,311-data,hackforla,epic, Pre-launch Testing Internal,1
2,311-data,hackforla,feature, Communication,36
3,311-data,hackforla,feature, Data Quality,4
4,311-data,hackforla,feature, Documentation,19
5,311-data,hackforla,feature, GitHub Board/Onboarding,10
6,311-data,hackforla,feature, Meeting Notes/Agendas,2
7,311-data,hackforla,feature, Missing,18
8,311-data,hackforla,feature, Optimization,6
9,311-data,hackforla,feature, Recruitment,1
10,311-data,hackforla,feature, Site Analytics,3
11,311-data,hackforla,feature, Stakeholder,5
12,311-data,hackforla,feature, User Feedback,3
13,311-data,hackforla,feature, guide,5
14,311-data,hackforla,missing, Milestone,24
15,311-data,hackforla,p-feature, About,8
16,311-data,hackforla,p-feature, Accessibility,23
17,311-data,hackforla,p-feature, Analytics,2
18,311-data,hackforla,p-feature, Contact Us,8
19,311-data,hackforla,p-feature, Desktop,7
20,311-data,hackforla,p-feature, FAQ,7
21,311-data,hackforla,p-feature, Footer,4
22,311-data,hackforla,p-feature, Map,47
23,311-data,hackforla,p-feature, Mobile,6
24,311-data,hackforla,p-feature, Navigation,7
25,311-data,hackforla,p-feature, Privacy Policy,6
26,311-data,hackforla,p-feature, Reports,18
27,311-data,hackforla,p-feature, User Management,2
28,311-data,hackforla,project, 311-data-dashboards,8
29,311-data,hackforla,role, Backend,110
30,311-data,hackforla,role, Data Science,46
31,311-data,hackforla,role, DevOps,47
32,311-data,hackforla,role, Frontend,207
33,311-data,hackforla,role, Marketing,2
34,311-data,hackforla,role, Missing,10
35,311-data,hackforla,role, Product Management,35
36,311-data,hackforla,role, UI/UX,70
37,311-data,hackforla,role, UI/UX Design,11
38,311-data,hackforla,role, UI/UX Research,4
39,311-data,hackforla,role, data analysis,5
40,311-data,hackforla,size, 13pt,6
41,311-data,hackforla,size, 1pt,17
42,311-data,hackforla,size, 2pt,31
43,311-data,hackforla,size, 3pt,46
44,311-data,hackforla,size, 5pt,35
45,311-data,hackforla,size, 8pt,20
46,311-data,hackforla,size, Missing,70
47,311-data,hackforla,size, epic,1
48,CTI-website-backend,civictechindex,api integration, CTI database,1
49,CTI-website-backend,civictechindex,feature, tag generator,2
50,CTI-website-backend,civictechindex,role, backend,4
51,CTI-website-frontend,civictechindex,api integration, CFA's Taxonomy,1
52,CTI-website-frontend,civictechindex,api integration, CTI database,17
53,CTI-website-frontend,civictechindex,api integration, GitHub,6
54,CTI-website-frontend,civictechindex,feature, CfA Brigade Project Index,2
55,CTI-website-frontend,civictechindex,feature, Google Analytics,2
56,CTI-website-frontend,civictechindex,feature, code quality,26
57,CTI-website-frontend,civictechindex,feature, design system,67
58,CTI-website-frontend,civictechindex,feature, github/project administration,24
59,CTI-website-frontend,civictechindex,feature, hosting,7
60,CTI-website-frontend,civictechindex,feature, manual database action,1
61,CTI-website-frontend,civictechindex,feature, missing,5
62,CTI-website-frontend,civictechindex,feature, onboarding,24
