,Repository,Organization,Label,LabelStatus,counts
15,311-data,hackforla,p-feature, About,8
16,311-data,hackforla,p-feature, Accessibility,23
17,311-data,hackforla,p-feature, Analytics,2
18,311-data,hackforla,p-feature, Contact Us,8
19,311-data,hackforla,p-feature, Desktop,7
20,311-data,hackforla,p-feature, FAQ,7
21,311-data,hackforla,p-feature, Footer,4
22,311-data,hackforla,p-feature, Map,47
23,311-data,hackforla,p-feature, Mobile,6
24,311-data,hackforla,p-feature, Navigation,7
25,311-data,hackforla,p-feature, Privacy Policy,6
26,311-data,hackforla,p-feature, Reports,18
27,311-data,hackforla,p-feature, User Management,2
70,CTI-website-frontend,civictechindex,p-feature, 404 page,2
71,CTI-website-frontend,civictechindex,p-feature, CTI Assets Kit,2
72,CTI-website-frontend,civictechindex,p-feature, Navigation,18
73,CTI-website-frontend,civictechindex,p-feature, Organizations,106
74,CTI-website-frontend,civictechindex,p-feature, about,15
75,CTI-website-frontend,civictechindex,p-feature, add organization,26
76,CTI-website-frontend,civictechindex,p-feature, collaboration,19
77,CTI-website-frontend,civictechindex,p-feature, contact us,10
78,CTI-website-frontend,civictechindex,p-feature, donation,6
79,CTI-website-frontend,civictechindex,p-feature, faq,28
80,CTI-website-frontend,civictechindex,p-feature, footer,23
81,CTI-website-frontend,civictechindex,p-feature, home,26
82,CTI-website-frontend,civictechindex,p-feature, how to get started,7
83,CTI-website-frontend,civictechindex,p-feature, how-to (depreciated),3
84,CTI-website-frontend,civictechindex,p-feature, indvOrgPage,6
85,CTI-website-frontend,civictechindex,p-feature, landing page,8
86,CTI-website-frontend,civictechindex,p-feature, link checker,2
87,CTI-website-frontend,civictechindex,p-feature, page header,6
88,CTI-website-frontend,civictechindex,p-feature, privacy policy,4
89,CTI-website-frontend,civictechindex,p-feature, project card,7
90,CTI-website-frontend,civictechindex,p-feature, search,25
91,CTI-website-frontend,civictechindex,p-feature, share,14
92,CTI-website-frontend,civictechindex,p-feature, subscribe,2
93,CTI-website-frontend,civictechindex,p-feature, support,11
94,CTI-website-frontend,civictechindex,p-feature, tag generator wizard,102
95,CTI-website-frontend,civictechindex,p-feature, tag suggestion,2
133,CivicTechJobs,hackforla,p-feature, All Filters,4
134,CivicTechJobs,hackforla,p-feature, CMS,12
135,CivicTechJobs,hackforla,p-feature, Components,15
136,CivicTechJobs,hackforla,p-feature, How to join page,5
137,CivicTechJobs,hackforla,p-feature, Landing Page,29
138,CivicTechJobs,hackforla,p-feature, Login page,1
139,CivicTechJobs,hackforla,p-feature, Navigation,11
140,CivicTechJobs,hackforla,p-feature, Search Page,12
141,CivicTechJobs,hackforla,p-feature, Search results,13
142,CivicTechJobs,hackforla,p-feature, Self-filter,7
205,HomeUniteUs,hackforla,p-feature, Application Guest,2
206,HomeUniteUs,hackforla,p-feature, Application Host,15
207,HomeUniteUs,hackforla,p-feature, Dashboard Admin Coordinator,3
208,HomeUniteUs,hackforla,p-feature, Dashboard Coordinator,22
209,HomeUniteUs,hackforla,p-feature, Dashboard Guest,16
210,HomeUniteUs,hackforla,p-feature, Dashboard Host,13
