,Repository,Organization,Label,LabelStatus,counts
29,311-data,hackforla,role, Backend,110
30,311-data,hackforla,role, Data Science,46
31,311-data,hackforla,role, DevOps,47
32,311-data,hackforla,role, Frontend,207
33,311-data,hackforla,role, Marketing,2
34,311-data,hackforla,role, Missing,10
35,311-data,hackforla,role, Product Management,35
36,311-data,hackforla,role, UI/UX,70
37,311-data,hackforla,role, UI/UX Design,11
38,311-data,hackforla,role, UI/UX Research,4
39,311-data,hackforla,role, data analysis,5
50,CTI-website-backend,civictechindex,role, backend,4
100,CTI-website-frontend,civictechindex,role, UI/UX,125
101,CTI-website-frontend,civictechindex,role, back end,83
102,CTI-website-frontend,civictechindex,role, communications,8
103,CTI-website-frontend,civictechindex,role, database,8
104,CTI-website-frontend,civictechindex,role, dev ops,5
105,CTI-website-frontend,civictechindex,role, front end,395
106,CTI-website-frontend,civictechindex,role, marketing,11
107,CTI-website-frontend,civictechindex,role, missing,20
108,CTI-website-frontend,civictechindex,role, product management,118
109,CTI-website-frontend,civictechindex,role, project management,44
110,CTI-website-frontend,civictechindex,role, stakeholder,1
111,CTI-website-frontend,civictechindex,role, testing,31
147,CivicTechJobs,hackforla,role, UI/UX - Design,56
148,CivicTechJobs,hackforla,role, UI/UX - Research,24
149,CivicTechJobs,hackforla,role, backend,25
150,CivicTechJobs,hackforla,role, devops,9
151,CivicTechJobs,hackforla,role, frontend,46
152,CivicTechJobs,hackforla,role, org,5
153,CivicTechJobs,hackforla,role, product,31
179,GreenEarthOS,hackforla,role, Backend Developer,1
180,GreenEarthOS,hackforla,role, UI/UX designer,11
181,GreenEarthOS,hackforla,role, UI/UX researcher,45
182,GreenEarthOS,hackforla,role, business analyst,5
183,GreenEarthOS,hackforla,role, data analyst,1
184,GreenEarthOS,hackforla,role, data scientist,1
185,GreenEarthOS,hackforla,role, missing,13
186,GreenEarthOS,hackforla,role, product management,73
187,GreenEarthOS,hackforla,role, product owner,4
227,HomeUniteUs,hackforla,role, Back End,28
228,HomeUniteUs,hackforla,role, DevOps,2
229,HomeUniteUs,hackforla,role, Front End,47
230,HomeUniteUs,hackforla,role, PM,78
231,HomeUniteUs,hackforla,role, UI/UX,62
232,HomeUniteUs,hackforla,role, missing,39
247,UI-UX,hackforla,role, CoP Lead - Design,1
248,UI-UX,hackforla,role, CoP Lead - content,1
249,UI-UX,hackforla,role, Content,1
250,UI-UX,hackforla,role, UI Design,12
251,UI-UX,hackforla,role, UX Research,5
265,VRMS,hackforla,role, Back End,127
266,VRMS,hackforla,role, Database,29
267,VRMS,hackforla,role, Front End,226
268,VRMS,hackforla,role, Missing,33
269,VRMS,hackforla,role, Product,5
270,VRMS,hackforla,role, devops,6
307,Website,100automations,role, UI/UX,56
