,Repository,Organization,Label,LabelStatus,counts
40,311-data,hackforla,size, 13pt,6
41,311-data,hackforla,size, 1pt,17
42,311-data,hackforla,size, 2pt,31
43,311-data,hackforla,size, 3pt,46
44,311-data,hackforla,size, 5pt,35
45,311-data,hackforla,size, 8pt,20
46,311-data,hackforla,size, Missing,70
47,311-data,hackforla,size, epic,1
112,CTI-website-frontend,civictechindex,size, 13+pt,4
113,CTI-website-frontend,civictechindex,size, 1pt,199
114,CTI-website-frontend,civictechindex,size, 2pt,31
115,CTI-website-frontend,civictechindex,size, 3pt,9
116,CTI-website-frontend,civictechindex,size, 5pt,7
117,CTI-website-frontend,civictechindex,size, 8pt,2
118,CTI-website-frontend,civictechindex,size, large,4
119,CTI-website-frontend,civictechindex,size, medium,11
120,CTI-website-frontend,civictechindex,size, missing,446
154,CivicTechJobs,hackforla,size, 13pt+,11
155,CivicTechJobs,hackforla,size, 1pt,69
156,CivicTechJobs,hackforla,size, 2pt,48
157,CivicTechJobs,hackforla,size, 3pt,34
158,CivicTechJobs,hackforla,size, 5pt,18
159,CivicTechJobs,hackforla,size, 8pt,6
188,GreenEarthOS,hackforla,size, 13pt,5
189,GreenEarthOS,hackforla,size, 1pt,94
190,GreenEarthOS,hackforla,size, 2pt,11
191,GreenEarthOS,hackforla,size, 3pt,2
192,GreenEarthOS,hackforla,size, 5pt,2
193,GreenEarthOS,hackforla,size, missing,1
271,VRMS,hackforla,size, 1pt,117
272,VRMS,hackforla,size, 2pt,16
273,VRMS,hackforla,size, 3pt,4
274,VRMS,hackforla,size, 5pt,1
275,VRMS,hackforla,size, missing,66
316,Website,100automations,size, 1pt,33
317,Website,100automations,size, 2pt,10
318,Website,100automations,size, 3 pt,1
319,Website,100automations,size, 8 pt.,1
320,Website,100automations,size, epic,4
321,Website,100automations,size, missing,100
333,YouthJusticeNav,hackforla,size, 0.25pt,3
334,YouthJusticeNav,hackforla,size, 1pt,1
335,YouthJusticeNav,hackforla,size, missing,67
361,access-the-data,hackforla,size, 1 pt,92
362,access-the-data,hackforla,size, 2 pts,47
363,access-the-data,hackforla,size, 3 pts,21
364,access-the-data,hackforla,size, 5 pts,14
365,access-the-data,hackforla,size, 8 pts,4
383,admin,hackforla,size, 1pt,2
396,ballotnav,hackforla,size, good second issue,6
397,ballotnav,hackforla,size, large,16
398,ballotnav,hackforla,size, medium,13
454,data-science,hackforla,size, 1pt,32
455,data-science,hackforla,size, 2pt,5
456,data-science,hackforla,size, 3pt,2
457,data-science,hackforla,size, 5pt,1
458,data-science,hackforla,size, 8pt,2
459,data-science,hackforla,size, epic,11
460,data-science,hackforla,size, missing,1
536,expunge-assist,hackforla,size, 1pt,67
537,expunge-assist,hackforla,size, 2pt,28
538,expunge-assist,hackforla,size, 3pt,19
539,expunge-assist,hackforla,size, 5pt,16
540,expunge-assist,hackforla,size, 8pt,4
541,expunge-assist,hackforla,size, good first issue,57
542,expunge-assist,hackforla,size, good second issue,10
543,expunge-assist,hackforla,size, large,21
544,expunge-assist,hackforla,size, medium,33
545,expunge-assist,hackforla,size, missing,62
590,food-oasis,hackforla,size, 13pt,1
591,food-oasis,hackforla,size, 1pt,88
592,food-oasis,hackforla,size, 2pt,65
593,food-oasis,hackforla,size, 3pt,41
594,food-oasis,hackforla,size, 5pt,24
595,food-oasis,hackforla,size, 8pt,12
623,guides,hackforla,size, 13+pt,2
624,guides,hackforla,size, 1pt,63
625,guides,hackforla,size, 2pt,11
626,guides,hackforla,size, 3pt,6
627,guides,hackforla,size, missing,8
690,internship,hackforla,size, 0.25pt,5
691,internship,hackforla,size, 0.50pt,10
692,internship,hackforla,size, 13+pt,7
693,internship,hackforla,size, 1pt,132
694,internship,hackforla,size, 2pt,20
695,internship,hackforla,size, 3pt,9
696,internship,hackforla,size, 5pt,10
697,internship,hackforla,size, 8pt,5
698,internship,hackforla,size, missing,11
733,lucky-parking,hackforla,size, 13+pt,8
734,lucky-parking,hackforla,size, 1pt,20
735,lucky-parking,hackforla,size, 2pt,8
736,lucky-parking,hackforla,size, 3pt,4
737,lucky-parking,hackforla,size, 5pt,4
738,lucky-parking,hackforla,size, 8pt,10
757,marketing,hackforla,size, 1pt,1
808,open-community-survey,hackforla,size, 13+pt,3
809,open-community-survey,hackforla,size, 1pt,70
810,open-community-survey,hackforla,size, 2pt,14
811,open-community-survey,hackforla,size, 3pt,15
812,open-community-survey,hackforla,size, 5pt,5
813,open-community-survey,hackforla,size, 8pt,8
830,ops,hackforla,size, 0.5pt,6
831,ops,hackforla,size, 1pt,4
832,ops,hackforla,size, 2pt,5
833,ops,hackforla,size, 3pt,3
834,ops,hackforla,size, missing,3
841,peopledepot,hackforla,size, 2pt,1
842,peopledepot,hackforla,size, 5pt,1
871,shared-housing,hackforla,size, L,2
872,shared-housing,hackforla,size, S,8
884,tables,hackforla,size, 0.5pt,1
974,website,hackforla,size, 0.5pt,371
975,website,hackforla,size, 13+pt,9
976,website,hackforla,size, 1pt,219
977,website,hackforla,size, 2pt,68
978,website,hackforla,size, 3pt,21
979,website,hackforla,size, 5pt,5
980,website,hackforla,size, 8pt,5
981,website,hackforla,size, Good second issue,316
982,website,hackforla,size, Large,151
983,website,hackforla,size, Medium,443
984,website,hackforla,size, Small,286
985,website,hackforla,size, missing,46
